STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,lsu,Size classes of total livestock units (LSU),uaarea,Utilised agricultural area,animals,Live animals,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),MT,Malta,2023,,789550,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2005,,95465080,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2007,,95711260,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2010,,103621310,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2013,,99428000,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2016,,107344800,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2020,,103300730,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NL,Netherlands,2023,,94244750,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NO,Norway,2005,,13977430,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NO,Norway,2007,,18128410,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NO,Norway,2010,,17185170,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NO,Norway,2013,,21616880,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NO,Norway,2016,,23540820,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),NO,Norway,2020,,19160650,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PL,Poland,2005,,151431820,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PL,Poland,2007,,158386040,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PL,Poland,2010,,174301060,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PL,Poland,2013,,149194720,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PL,Poland,2016,,198363770,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PL,Poland,2020,,225744690,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PT,Portugal,2005,,29234720,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PT,Portugal,2007,,27574480,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PT,Portugal,2010,,35351550,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),PT,Portugal,2013,,28614840,,,,,
